Market Name,Price Date,Min_Price,Max_Price,Modal_Price,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,precipitation_sum,precipitation_hours,weather_code,Modal_Price_Lag1,Modal_Price_Lag2,Modal_Price_Lag3,Modal_Price_Lag4,temperature_2m_mean_Lag1,temperature_2m_mean_Lag2,temperature_2m_mean_Lag3,temperature_2m_mean_Lag4,temperature_2m_max_Lag1,temperature_2m_max_Lag2,temperature_2m_max_Lag3,temperature_2m_max_Lag4,temperature_2m_min_Lag1,temperature_2m_min_Lag2,temperature_2m_min_Lag3,temperature_2m_min_Lag4,wind_speed_10m_max_Lag1,wind_speed_10m_max_Lag2,wind_speed_10m_max_Lag3,wind_speed_10m_max_Lag4,precipitation_sum_Lag1,precipitation_sum_Lag2,precipitation_sum_Lag3,precipitation_sum_Lag4,precipitation_hours_Lag1,precipitation_hours_Lag2,precipitation_hours_Lag3,precipitation_hours_Lag4,weather_code_Lag1,weather_code_Lag2,weather_code_Lag3,weather_code_Lag4
lasalgaon,09-07-2023,616.6666667,2469.166667,1363.5,28.45337517,34.2065,24.1565,14.30254733,105.5000058,71,51,1297,1053.142857,928.5,946,27.37177833,32.418404,35.2571935,35.6023332,33.1065,40.6565,41.4565,44.2065,24.706501,24.956501,30.0065,28.1065,21.91260983,19.17018986,22.6561845,21.726803,100.2999989,24.600001,1.8,0.5,81,36,5,1,51,3,3,3
lasalgaon(niphad),09-07-2023,483.3333333,1530.666667,1241.666667,28.45337517,34.2065,24.1565,14.30254733,105.5000058,71,51,1220.5,797.3333333,752.5,735.2,27.37177833,31.86587383,35.2571935,35.6023332,33.1065,40.6565,41.4565,44.2065,24.706501,24.956501,30.0065,28.1065,21.91260983,19.27944767,22.6561845,21.726803,100.2999989,24.600001,1.8,0.5,81,36,5,1,51,3,3,3
lasalgaon(vinchur),09-07-2023,483.3333333,1647.166667,1308.333333,28.45337517,34.2065,24.1565,14.30254733,105.5000058,71,51,1265.6,950.3333333,900.1666667,885,27.551084,31.86587383,35.2571935,35.6023332,33.1065,40.6565,41.4565,44.2065,24.706501,24.956501,30.0065,28.1065,22.1061174,19.27944767,22.6561845,21.726803,94.2999999,24.600001,1.8,0.5,64,36,5,1,51,3,3,3
lonand,09-07-2023,400,1600,1000,28.794004,33.2565,25.5565,12.475961,1.2,7,51,900,825,825,900,26.9502505,34.9773325,34.9773325,36.45233,31.8565,41.3065,41.3065,44.2065,24.706501,30.0065,30.0065,29.5065,20.711395,24.3710175,24.3710175,23.664352,39.2999999,0,0,0,31,0,0,0,53,3,3,3
manchar,09-07-2023,1433.333333,2276.666667,1855,28.02038867,34.2065,25.0065,14.21837767,46.400001,36,63,1878.333333,1555,1410,1150,27.45372067,35.733585,34.95719367,36.057538,33.0565,40.6565,41.4565,44.2065,24.7565,30.706501,30.0065,28.706501,20.82267033,18.514643,19.899143,20.6301065,55.9999999,0,1.8,0,35,0,5,0,51,3,3,3
mankamneshwar farmar producer coltd sanchalit mank,09-07-2023,300,1414,1099.42,30.241919,34.0565,26.8065,12.10157,0.3,1,51,1067.981667,715.2566667,505.0933333,488.4666667,27.37177833,31.86587383,35.2571935,35.90580533,33.1065,40.6565,41.4565,44.2065,24.706501,24.956501,30.0065,29.5065,21.91260983,19.27944767,22.6561845,23.92745367,100.2999989,24.600001,1.8,0.5,81,36,5,1,51,3,3,3
manmad,09-07-2023,220,1628,1250,28.0956664,34.2065,24.1565,14.7427428,105.2000058,70,65,1118.75,845.8333333,808.3333333,762,26.7148335,31.86587383,35.2571935,35.6023332,32.2565,40.6565,41.4565,44.2065,24.706501,24.956501,30.0065,28.1065,22.62249775,19.27944767,22.6561845,21.726803,98.099999,24.600001,1.8,0.5,69,36,5,1,63,3,3,3
nagpur,09-07-2023,1750,2200,2087.5,28.853378,33.2565,25.2565,11.1510245,9.3999996,28,51,1605,1471.428571,1431.25,1014.285714,27.271084,32.83149857,36.1106675,35.65739571,33.1065,40.6565,41.4565,44.2065,24.706501,24.956501,31.0565,28.1065,22.560837,21.66833329,23.105151,22.82354757,197.199998,17.1,0,1.3,146,33,0,3,51,3,2,3
nandgaon,09-07-2023,136.25,1581.75,1250.25,29.31171025,34.2065,25.206501,11.95030775,24.3999998,30,51,1150,710.2,650.25,500,26.7148335,32.5627486,35.02837425,35.662746,32.2565,40.6565,41.4565,42.1065,24.706501,25.0065,30.0065,28.706501,22.62249775,20.4801084,22.91629375,17.595861,98.099999,15.100001,1.8,0,69,27,5,0,63,3,3,3
nasik,09-07-2023,375,1733.5,1150,28.45337517,34.2065,24.1565,14.30254733,105.5000058,71,51,910,754.1666667,716.6666667,762.5,27.271084,31.86587383,35.2571935,35.5653525,33.1065,40.6565,41.4565,44.2065,24.706501,24.956501,30.0065,28.1065,22.560837,19.27944767,22.6561845,19.99233325,98.599999,24.600001,1.8,0,73,36,5,0,51,3,3,3
newasa(ghodegaon),09-07-2023,266.6666667,2366.666667,1433.333333,28.71483367,34.0565,24.5065,13.089185,50.9000058,28,51,1250,1100,916.6666667,800,27.33219567,32.43566367,35.57316667,35.19088,33.1065,40.6065,41.4565,41.3565,24.706501,24.956501,30.0565,28.1065,22.00352733,19.46148733,24.54236133,23.9602375,44.099999,10.5,0,0.5,44,15,0,1,51,3,3,3
parner,09-07-2023,300,2133.333333,1466.666667,27.121776,32.5565,24.1565,15.76060133,63.3000008,42,61,1550,783.3333333,800,841.6666667,28.04399833,29.13149767,35.75302767,35.35997467,33.0565,40.4565,41.4565,41.3565,25.0565,24.9065,30.4065,28.1065,20.64625533,17.40897633,22.04002867,18.43476633,6.799999,21.000001,0,0.3,25,39,0,1,51,51,3,3
